ensGeneID	geneName	geneName	il21_vs_il2 logFC	il21_vs_il2 qval	il21_vs_il15 logFC	il21_vs_il15 qval	il21_vs_il7 logFC	il21_vs_il7 qval
ENSG00000102445	 RUBCNL	 RUN and cysteine rich domain containing beclin 1 interacting protein like	2.23309384450615	0.0036095236732102	2.05859807526932	0.0226201219868942	2.09658233562295	0.0167334448474946
ENSG00000072571	 HMMR	 hyaluronan mediated motility receptor	-3.07801787042936	5.77549593040238e-05	-2.32188955717291	0.0104853245868907	-2.56884618367817	0.00254068005608351
ENSG00000094804	 CDC6	 cell division cycle 6	-2.88089022900171	0.00135507556716245	-2.40384299400532	0.0294130837806618	-2.42302607907307	0.0211071270539104
ENSG00000164104	 HMGB2	 high mobility group box 2	-2.1273519679769	0.000121680047369144	-1.76230635841351	0.00720309389913414	-1.87746968353949	0.00238823941078973
ENSG00000211674	 IGLJ1		4.27493471649691	0.000393136750964992	3.3057804187221	0.01762750234945	3.35230073334439	0.021904069909677
ENSG00000222032	 AC112721.2		7.15194245179645	0.000307860565013293	6.2529098752167	0.00509141497062957	6.0276839499411	0.00737057686326024
ENSG00000156234	 CXCL13	 C-X-C motif chemokine ligand 13	8.07865139957232	6.4041328558157e-05	7.87594452623072	0.000533958303479375	4.65917224116911	0.0351526753048858
ENSG00000275126	 HIST1H4L	 histone cluster 1 H4 family member l	-2.07234270912604	0.000283429519612029	-1.78941531211482	0.00918628912378064	-1.71133591891062	0.0109508047326889
ENSG00000165480	 SKA3	 spindle and kinetochore associated complex subunit 3	-3.32129865867658	0.000130236689467781	-2.60381734613854	0.0122234657642664	-2.90523074599866	0.00280890021338645
ENSG00000089685	 BIRC5	 baculoviral IAP repeat containing 5	-3.40250085123662	0.000283429519612029	-2.76645256869781	0.0135762408134602	-2.78896691216698	0.00986465813315466
ENSG00000122966	 CIT	 citron rho-interacting serine/threonine kinase	-3.16947889222982	2.96484762845956e-05	-2.65473077552956	0.00240296604763257	-2.86589955625927	0.000523376271587705
ENSG00000013573	 DDX11	 DEAD/H-box helicase 11	-1.64602216290035	0.0011851222031882	-1.48954753255109	0.0130035202820332	-1.4867661403365	0.0102604739203974
ENSG00000116133	 DHCR24	 24-dehydrocholesterol reductase	-2.0963972491026	0.000442366837943056	-1.63225624123777	0.0330930329783506	-1.62030933947609	0.0280425027013132
ENSG00000075702	 WDR62	 WD repeat domain 62	-2.25037695847918	0.00135507556716245	-1.82454058314138	0.0422572091781623	-1.93986158891204	0.0176085942171756
ENSG00000007968	 E2F2	 E2F transcription factor 2	-3.36294301847144	0.000241809869351073	-3.01590586597511	0.00450400210892291	-3.04169768650338	0.00292428797733722
ENSG00000156970	 BUB1B	 BUB1 mitotic checkpoint serine/threonine kinase B	-3.45747501387948	5.77549593040238e-05	-2.79594396915995	0.0049105235196465	-3.14736843900088	0.000736884022156317
